title,url,stage,day,time,lfm_id
Dr Alice Roberts,,FREE UNIVERSITY OF GLASTONBURY,SUNDAY,14:00 - 14:45,62115036
DR Cat,,THE HOUSE OF COME ONS,FRIDAY,05:00 - 06:00,10815968
Dr Meaker,http://www.drmeaker.co.uk/,GLADE,SUNDAY,15:50 - 16:40,13047264
Dr Schwamp,http://www.drschwamp.com,AVALON CAFÉ STAGE,FRIDAY,21:00 - 22:00,92327532
Dreadzone,http://www.dreadzone.com/,AVALON STAGE,SATURDAY,20:15 - 21:15,1028937
Dropsteady Freddy,https://soundcloud.com/full-melt-1,GLADE LOUNGE,SUNDAY,22:30 - 00:00,76540460
Dub Pistols,http://dubpistolsmusic.co.uk/,GLADE,FRIDAY,15:25 - 16:25,1003567
Dub Smugglers,,BABYLON UPRISING,THURSDAY,18:00 - 19:30,58670130
Dubioza Kolektiv,http://dubioza.org/,GLADE,SUNDAY,17:10 - 18:10,6785465
Dubtastic music,,BABYLON UPRISING,SUNDAY,14:00 - 15:00,84606790
Duke Special,http://www.dukespecial.com/,ACOUSTIC STAGE,FRIDAY,16:25 - 17:05,6652413
Duncan Disorderly,http://www.the-scallywags.co.uk/,SMALL WORLD STAGE,THURSDAY,20:15 - 21:30,1140174
Dungeon Meat,,NYC DOWNLOW,SATURDAY,04:30 - 06:00,85881056
Dynamix,http://www.dynamix.coop,BELLA'S FIELD,THURSDAY,15:00 - 17:00,1190319
East India Youth,http://eastindiayouth.co.uk/,WILLIAM'S GREEN,SUNDAY,19:00 - 19:40,78914354
Eat Static,http://www.eatstatic.co.uk/,GLADE,FRIDAY,21:00 - 22:15,1011057
Eats Everything,,NYC DOWNLOW,SATURDAY,22:00 - 23:30,52385899
Eaves,https://www.facebook.com/Eaves,THE PARK STAGE,SATURDAY,12:00 - 12:40,1162741
Ed Solo and Deekline,https://soundcloud.com/edsol,HEAVEN,THURSDAY,22:00 - 23:00,53100306
Ed Solo,http://soundcloud.com/edsolo,THE SPACEPORT,FRIDAY,21:00 - 22:00,1160460
Ekkah,https://www.facebook.com/WEAREEKKAH,BBC INTRODUCING,SATURDAY,17:20 - 17:45,87297843
El Hijo de la Cumbia,http://www.elhijodelacumbia.com.ar/,LA PUSSY PARLURE,SUNDAY,01:45 - 02:30,20875068
Eleanor Tiernan,,CABARET,FRIDAY,18:10 - 18:40,49828076
Elise Yuill,http://www.eliseyuill.com/index.php,SMALL WORLD STAGE,SUNDAY,12:00 - 13:00,88682359
